Original,New
"AQ","Unknown"
"AQ.","Unknown"
"AQANA","Blue"
"AQUA","Blue"
"AQUA.","Blue"
"AR","Unknown"
"ARANG","Unknown"
"ARAY","Unknown"
"ARG","Unknown"
"ARMYG","Unknown"
"ARN","Unknown"
"ARON","Unknown"
"AROO","Unknown"
"AROON","Unknown"
"ASH","Silver"
"ASILV","Unknown"
"ASRRN","Unknown"
"ASS","Unknown"
"ASSOR","Unknown"
"AST","Unknown"
"AUB","Unknown"
"AUBUR","Unknown"
"AUDI","Unknown"
"AUDIL","Unknown"
"AUDU","Unknown"
"AV,,","Unknown"
"AVE","Unknown"
"AVIS","Unknown"
"AY","Unknown"
"AZ","Unknown"
"AZD","Unknown"
"Alumi","Unknown"
"B","Unknown"
"B ACK","Black"
"B ACL","Black"
"B BLU","Blue"
"B GRA","Unknown"
"B GRE","Unknown"
"B GY","Unknown"
"B IE","Unknown"
"B K","Unknown"
"B K.","Unknown"
"B L","Unknown"
"B L.","Unknown"
"B LA","Black"
"B LAC","Black"
"B LAK","Black"
"B LIT","Unknown"
"B LK","Unknown"
"B LU","Blue"
"B LUE","Blue"
"B LUR","Unknown"
"B N","Unknown"
"B O","Unknown"
"B R","Unknown"
"B RD","Unknown"
"B RN","Brown"
"B ROW","Brown"
"B SIL","Unknown"
"B UE","Blue"
"B UUK","Unknown"
"B W","Unknown"
"B WHI","Unknown"
"B)K","Unknown"
"B+LK","Black"
"B,-NN","Unknown"
"B,C","Unknown"
"B,C..","Unknown"
"B,IUU","Unknown"
"B,LUE","Blue"
"B-K","Unknown"
"B.","Unknown"
"B.-M","Unknown"
"B.K","Unknown"
"B.L.","Unknown"
"B.R","Unknown"
"B.Y","Unknown"
"B/","Unknown"
"B//WH","Unknown"
"B/A","Unknown"
"B/ACK","Black"
"B/C","Unknown"
"B/E","Unknown"
"B/G","Unknown"
"B/GY","Unknown"
"B/K","Unknown"
"B/L","Unknown"
"B/NCK","Unknown"
"B/O","Unknown"
"B/QC","Unknown"
"B/R","Unknown"
"B/RD","Unknown"
"B/S","Unknown"
"B/SIL","Unknown"
"B/SLV","Unknown"
"B/T","Unknown"
"B/U","Unknown"
"B/UR","Unknown"
"B/W","Unknown"
"B/WH","Unknown"
"B/X","Unknown"
"B;","Unknown"
"B;/HY","Unknown"
"B;ACK","Black"
"B;ACL","Black"
"B;IE","Unknown"
"B;K","Unknown"
"B;L","Unknown"
"B;LAC","Black"
"B;LK","Black"
"B;U","Unknown"
"B;UE","Blue"
"BA","Unknown"
"BAC","Black"
"BACK","Black"
"BACL","Unknown"
"BACUR","Unknown"
"BADGE","Unknown"
"BAEIG","Unknown"
"BAEL","Unknown"
"BAG","Unknown"
"BAGE","Unknown"
"BAGEL","Unknown"
"BAGIE","Unknown"
"BAGRE","Unknown"
"BAIDG","Unknown"
"BAIE","Unknown"
"BAIG","Unknown"
"BAIGE","Unknown"
"BAIGR","Unknown"
"BAIGT","Unknown"
"BAIJ","Unknown"
"BAJE","Unknown"
"BAJGE","Unknown"
"BAK","Unknown"
"BAKE","Unknown"
"BALC","Black"
"BALCK","Black"
"BALK","Black"
"BALT.","Unknown"
"BAM","Unknown"
"BAN","Unknown"
"BANDY","Unknown"
"BANGE","Unknown"
"BANK","Unknown"
"BANSU","Unknown"
"BAR","Unknown"
"BAR.","Unknown"
"BARDG","Unknown"
"BARG","Unknown"
"BARGA","Unknown"
"BARGE","Unknown"
"BARGN","Unknown"
"BARGU","Unknown"
"BARK","Unknown"
"BAROO","Unknown"
"BARUG","Unknown"
"BARUN","Unknown"
"BASE","Unknown"
"BAUGE","Unknown"
"BAWH","Unknown"
"BAY","Unknown"
"BB","Unknown"
"BBB/","Unknown"
"BBEIG","Unknown"
"BBK","Unknown"
"BBKE","Unknown"
"BBL","Unknown"
"BBLAC","Black"
"BBLK","Black"
"BBLUE","Blue"
"BBLZC","Unknown"
"BBN","Unknown"
"BBOWN","Brown"
"BBR","Unknown"
"BBRN","Brown"
"BBROW","Brown"
"BBRW","Unknown"
"BBRWN","Brown"
"BBW","Unknown"
"BBWN","Unknown"
"BBWNN","Unknown"
"BC","Unknown"
"BCA","Unknown"
"BCACK","Black"
"BCC","Unknown"
"BCG","Unknown"
"BCH","Unknown"
"BCK","Unknown"
"BCL","Unknown"
"BCM","Unknown"
"BCN","Unknown"
"BCT","Unknown"
"BD","Unknown"
"BD.","Unknown"
"BDG","Unknown"
"BDGY","Unknown"
"BDU","Unknown"
"BDWN","Unknown"
"BDY","Unknown"
"BE","Unknown"
"BE WH","Unknown"
"BE.","Unknown"
"BE/GD","Unknown"
"BE/GE","Unknown"
"BE/RD","Unknown"
"BEACH","Unknown"
"BEAGE","Unknown"
"BECK","Unknown"
"BED","Unknown"
"BEDGE","Unknown"
"BEDIG","Unknown"
"BEEIG","Unknown"
"BEET","Unknown"
"BEG","Unknown"
"BEGAE","Unknown"
"BEGAN","Unknown"
"BEGE","Unknown"
"BEGEL","Unknown"
"BEGEN","Unknown"
"BEGI","Unknown"
"BEGIA","Unknown"
"BEGIE","Unknown"
"BEGNE","Unknown"
"BEGNN","Unknown"
"BEGR","Unknown"
"BEGRT","Unknown"
"BEGUE","Unknown"
"BEGUN","Unknown"
"BEI","Unknown"
"BEI.","Unknown"
"BEI/T","Unknown"
"BEIAN","Unknown"
"BEIBE","Unknown"
"BEICE","Unknown"
"BEIDG","Unknown"
"BEIEG","Unknown"
"BEIER","Unknown"
"BEIG","Unknown"
"BEIG.","Unknown"
"BEIGE","Unknown"
"BEIGF","Unknown"
"BEIGG","Unknown"
"BEIGH","Unknown"
"BEIGI","Unknown"
"BEIGN","Unknown"
"BEIGO","Unknown"
"BEIGR","Unknown"
"BEIGT","Unknown"
"BEIGU","Unknown"
"BEIGW","Unknown"
"BEIJE","Unknown"
"BEINE","Unknown"
"BEING","Unknown"
"BEIPE","Unknown"
"BEIRG","Unknown"
"BEISE","Unknown"
"BEITA","Unknown"
"BEK","Unknown"
"BEKE","Unknown"
"BEL","Unknown"
"BELDE","Unknown"
"BELGE","Unknown"
"BELKS","Unknown"
"BELL","Unknown"
"BEM","Unknown"
"BEN","Unknown"
"BENG","Unknown"
"BENGA","Unknown"
"BENGE","Unknown"
"BENTL","Unknown"
"BEOGE","Unknown"
"BEOWN","Unknown"
"BER","Unknown"
"BER.","Unknown"
"BER/W","Unknown"
"BERA","Unknown"
"BEREN","Unknown"
"BERG","Unknown"
"BERGA","Unknown"
"BERGE","Unknown"
"BERGN","Unknown"
