Original,New
"BLRCK","Black"
"BLRD","Unknown"
"BLROW","Brown"
"BLS","Unknown"
"BLSAC","Unknown"
"BLSCK","Black"
"BLSIL","Unknown"
"BLSL","Unknown"
"BLSLV","Unknown"
"BLSVK","Unknown"
"BLT","Unknown"
"BLTN","Unknown"
"BLU","Blue"
"BLU E","Blue"
"BLU G","Unknown"
"BLU L","Unknown"
"BLU R","Unknown"
"BLU W","Unknown"
"BLU,","Blue"
"BLU-B","Unknown"
"BLU-D","Unknown"
"BLU-W","Unknown"
"BLU.","Unknown"
"BLU.+","Unknown"
"BLU/B","Unknown"
"BLU/G","Unknown"
"BLU/P","Unknown"
"BLU/R","Unknown"
"BLU/S","Unknown"
"BLU/T","Unknown"
"BLU/W","Unknown"
"BLUB","Blue"
"BLUBK","Unknown"
"BLUBL","Unknown"
"BLUC","Unknown"
"BLUCK","Unknown"
"BLUD","Blue"
"BLUE","Blue"
"BLUE'","Blue"
"BLUE,","Blue"
"BLUE-","Blue"
"BLUE.","Blue"
"BLUE/","Blue"
"BLUE=","Blue"
"BLUEB","Blue"
"BLUED","Blue"
"BLUEE","Blue"
"BLUEG","Blue"
"BLUEJ","Blue"
"BLUEL","Blue"
"BLUEP","Blue"
"BLUEQ","Blue"
"BLUER","Blue"
"BLUES","Blue"
"BLUEW","Blue"
"BLUEY","Blue"
"BLUE`","Blue"
"BLUF","Blue"
"BLUG","Blue"
"BLUGE","Blue"
"BLUGN","Unknown"
"BLUGR","Unknown"
"BLUGY","Unknown"
"BLUI","Blue"
"BLUIE","Blue"
"BLUJE","Blue"
"BLUL","Blue"
"BLULE","Blue"
"BLUN","Blue"
"BLUNT","Unknown"
"BLUO","Blue"
"BLUQ","Blue"
"BLUR","Unknown"
"BLURE","Blue"
"BLURG","Unknown"
"BLUS","Blue"
"BLUSE","Blue"
"BLUSI","Unknown"
"BLUT","Unknown"
"BLUTE","Blue"
"BLUUE","Blue"
"BLUW","Blue"
"BLUWE","Blue"
"BLUWH","Unknown"
"BLUWT","Unknown"
"BLUYE","Blue"
"BLUZ","Blue"
"BLU`E","Blue"
"BLV","Unknown"
"BLVD","Unknown"
"BLVE","Blue"
"BLVG","Unknown"
"BLVGK","Unknown"
"BLVK","Unknown"
"BLW","Unknown"
"BLWH","Unknown"
"BLWHI","Unknown"
"BLWHT","Unknown"
"BLWN","Unknown"
"BLWT","Unknown"
"BLX","Unknown"
"BLXFS","Unknown"
"BLXK","Unknown"
"BLY","Unknown"
"BLYE","Blue"
"BLYU","Unknown"
"BLYUE","Unknown"
"BLYW","Unknown"
"BLYWH","Unknown"
"BLZ","Unknown"
"BLZCK","Unknown"
"BL[P","Unknown"
"BL`","Unknown"
"BLack","Black"
"BM","Unknown"
"BM/","Unknown"
"BMC","Unknown"
"BMDN","Unknown"
"BMH","Unknown"
"BMIC","Unknown"
"BMIL","Unknown"
"BMK","Unknown"
"BMN","Unknown"
"BMR","Unknown"
"BMSIL","Unknown"
"BMW","Unknown"
"BMWN","Unknown"
"BN","Unknown"
"BN TN","Unknown"
"BN.","Unknown"
"BNCL","Unknown"
"BND","Unknown"
"BNDY","Unknown"
"BNE","Unknown"
"BNH","Unknown"
"BNK","Unknown"
"BNLAC","Black"
"BNLK","Black"
"BNM","Unknown"
"BNMID","Unknown"
"BNN","Unknown"
"BNO","Unknown"
"BNOW","Unknown"
"BNQ","Unknown"
"BNR","Unknown"
"BNR-","Unknown"
"BNROW","Brown"
"BNU","Unknown"
"BNUC","Unknown"
"BNW","Unknown"
"BNWN","Unknown"
"BNZ","Unknown"
"BNZ.","Unknown"
"BO","Unknown"
"BOCAE","Unknown"
"BOG","Unknown"
"BOI","Unknown"
"BOLA","Unknown"
"BOLAC","Black"
"BOLD","Unknown"
"BON","Unknown"
"BOND","Unknown"
"BONG","Unknown"
"BONGA","Unknown"
"BONGU","Unknown"
"BONZ","Unknown"
"BOR","Unknown"
"BORD","Unknown"
"BORDE","Unknown"
"BORE","Unknown"
"BORG","Unknown"
"BORGA","Unknown"
"BORGL","Unknown"
"BORGO","Unknown"
"BORGU","Unknown"
"BORNW","Unknown"
"BOROD","Unknown"
"BORWN","Brown"
"BOU","Unknown"
"BOURG","Unknown"
"BOW","Unknown"
"BOWE","Unknown"
"BOWN","Unknown"
"BOX","Unknown"
"BP","Unknown"
"BPAN","Unknown"
"BPL","Unknown"
"BPM","Unknown"
"BPU","Unknown"
"BPW","Unknown"
"BQ","Unknown"
"BR","Brown"
"BR BL","Unknown"
"BR GY","Unknown"
"BR N","Unknown"
"BR OW","Unknown"
"BR RD","Unknown"
"BR,","Brown"
"BR,,","Brown"
"BR-GY","Unknown"
"BR-TN","Unknown"
"BR-WH","Unknown"
"BR.","Brown"
"BR./","Brown"
"BR/","Brown"
"BR/BK","Unknown"
"BR/BL","Unknown"
"BR/GD","Unknown"
"BR/GO","Unknown"
"BR/GR","Unknown"
"BR/GY","Unknown"
"BR/MA","Unknown"
"BR/RD","Unknown"
"BR/WH","Unknown"
"BR/WT","Unknown"
"BR0","Brown"
"BR258","Brown"
"BR69","Brown"
"BRA","Unknown"
"BRACH","Unknown"
"BRAG","Unknown"
"BRAGE","Unknown"
"BRAN","Unknown"
"BRAND","Unknown"
"BRANG","Unknown"
"BRAOW","Brown"
"BRAW","Unknown"
"BRAWN","Brown"
"BRAY","Unknown"
"BRAY.","Unknown"
"BRB","Unknown"
"BRBH","Unknown"
"BRBK","Unknown"
"BRBL","Unknown"
"BRBR","Unknown"
"BRC","Unknown"
"BRCDF","Unknown"
"BRCH","Unknown"
"BRCWN","Brown"
"BRD","Unknown"
"BRDG","Unknown"
"BRDY","Unknown"
"BRDY.","Unknown"
"BRE","Unknown"
"BREEN","Green"
"BREG","Unknown"
"BREGE","Unknown"
"BREGI","Unknown"
"BREGN","Unknown"
"BREGU","Unknown"
"BREIG","Unknown"
"BREIN","Unknown"
"BREIR","Unknown"
"BREK","Unknown"
"BREN","Unknown"
"BREON","Unknown"
"BRES","Unknown"
"BREU","Unknown"
"BREW","Unknown"
"BREWN","Brown"
"BREY","Unknown"
"BRF","Unknown"
"BRFOW","Unknown"
"BRG","Unknown"
"BRG.","Unknown"
"BRGAD","Unknown"
"BRGAN","Unknown"
"BRGD","Unknown"
"BRGD.","Unknown"
"BRGDY","Unknown"
"BRGE","Unknown"
"BRGL","Unknown"
"BRGN","Unknown"
"BRGND","Unknown"
"BRGNY","Unknown"
"BRGON","Unknown"
"BRGR","Unknown"
"BRGRA","Unknown"
"BRGS","Unknown"
"BRGU","Unknown"
"BRGUR","Unknown"
"BRGUY","Unknown"
"BRGY","Unknown"
"BRGY.","Unknown"
"BRH","Unknown"
"BRI","Unknown"
"BRI O","Unknown"
"BRICK","Unknown"
"BRIDG","Unknown"
"BRIDO","Unknown"
"BRIEG","Unknown"
"BRIG","Unknown"
"BRIGE","Unknown"
"BRIGH","Unknown"
"BRIGN","Unknown"
"BRIGR","Unknown"
"BRIL","Unknown"
"BRING","Unknown"
"BRINI","Unknown"
"BRINZ","Unknown"
"BRIOW","Unknown"
"BRISC","Unknown"
"BRISE","Unknown"
"BRIUG","Unknown"
"BRIWB","Unknown"
"BRIWN","Brown"
"BRJ","Unknown"
"BRK","Unknown"
"BRL","Unknown"
"BRM","Unknown"
"BRMJ","Unknown"
"BRMN","Unknown"
"BRMR","Unknown"
"BRMW","Unknown"
"BRN","Brown"
"BRN,","Brown"
"BRN.","Brown"
"BRN/B","Unknown"
"BRNB","Unknown"
"BRND","Unknown"
"BRNDY","Unknown"
"BRNG","Unknown"
"BRNGA","Unknown"
"BRNGO","Unknown"
"BRNI","Unknown"
"BRNM","Unknown"
"BRNN","Unknown"
"BRNO","Unknown"
"BRNQ","Unknown"
"BRNS","Unknown"
"BRNW","Unknown"
"BRNWH","Unknown"
"BRNWN","Unknown"
"BRNY","Unknown"
"BRNZ","Unknown"
"BRNZ.","Unknown"
"BRNZE","Unknown"
"BRO","Unknown"
"BRO R","Unknown"
"BRO-B","Unknown"
"BRO.","Unknown"
"BRO/","Unknown"
"BRO/G","Unknown"
"BROAD","Unknown"
"BROAN","Unknown"
"BROBL","Unknown"
"BROEN","Brown"
"BROEW","Unknown"
"BROI","Unknown"
"BROK","Unknown"
"BROLW","Unknown"
"BROM","Unknown"
"BROMN","Unknown"
"BROMZ","Unknown"
"BRON","Brown"
"BRONC","Unknown"
"BRONE","Unknown"
"BRONK","Unknown"
"BRONN","Brown"
"BRONS","Unknown"
"BRONW","Brown"
"BRONX","Unknown"
"BRONZ","Unknown"
"BROOK","Unknown"
"BROOM","Unknown"
"BROON","Brown"
"BROOW","Unknown"
"BROPN","Unknown"
"BROPW","Unknown"
"BROQN","Unknown"
"BROQW","Unknown"
"BROR","Unknown"
"BRORH","Unknown"
"BRORN","Brown"
"BROSW","Unknown"
"BROUC","Unknown"
"BROUG","Unknown"
"BROUN","Brown"
"BROW","Brown"
"BROW/","Brown"
"BROWB","Brown"
"BROWE","Brown"
"BROWH","Brown"
"BROWJ","Brown"
"BROWM","Brown"
"BROWN","Brown"
"BROWQ","Brown"
"BROWS","Brown"
"BROWW","Brown"
"BROWY","Brown"
"BROY","Unknown"
"BROZ","Unknown"
"BROZE","Unknown"
"BROZO","Unknown"
"BRP","Unknown"
"BRPOW","Unknown"
"BRPR","Unknown"
"BRPWM","Brown"
"BRPWN","Brown"
"BRQ","Unknown"
"BRQW","Unknown"
"BRR","Unknown"
"BRRD","Unknown"
"BRREA","Unknown"
"BRRG","Unknown"
"BRRIE","Unknown"
"BRROW","Unknown"
"BRS","Unknown"
"BRT","Unknown"
"BRTN","Unknown"
"BRTOW","Unknown"
"BRTUR","Unknown"
"BRU","Unknown"
"BRU76","Unknown"
"BRUDY","Unknown"
"BRUG","Unknown"
"BRUGA","Unknown"
"BRUGE","Unknown"
"BRUGN","Unknown"
"BRUGU","Unknown"
"BRUN","Unknown"
"BRUND","Unknown"
"BRUNY","Unknown"
"BRURG","Unknown"
"BRUWN","Brown"
"BRUY","Unknown"
"BRV","Unknown"
"BRVT","Unknown"
"BRW","Unknown"
"BRW R","Unknown"
"BRW.","Unknown"
"BRWB","Unknown"
"BRWBN","Brown"
"BRWH","Unknown"
"BRWM","Unknown"
"BRWMN","Brown"
"BRWN","Brown"
"BRWN.","Brown"
"BRWNB","Brown"
"BRWNE","Brown"
"BRWNM","Brown"
"BRWO","Unknown"
"BRWON","Brown"
"BRWOW","Brown"
"BRWS","Unknown"
"BRWW","Unknown"
"BRWWN","Brown"
"BRX","Unknown"
"BRY","Unknown"
"BRYN","Unknown"
"BRYW","Unknown"
"BRZ","Unknown"
"BRZ.","Unknown"
"BR`","Unknown"
"BS","Unknown"
"BSD","Unknown"
"BSILV","Unknown"
"BT","Unknown"
"BTAGE","Unknown"
"BTAN","Unknown"
"BTC","Unknown"
"BTH","Unknown"
"BTN","Unknown"
"BTO","Unknown"
"BTOWN","Brown"
"BTROW","Brown"
"BTTO","Unknown"
"BTW","Unknown"
"BTWN","Brown"
"BU","Unknown"
"BU RE","Unknown"
"BU WH","Unknown"
"BU.","Unknown"
"BU/GY","Unknown"
"BU/WH","Unknown"
"BUACY","Unknown"
"BUAG","Unknown"
"BUAGE","Unknown"
"BUARN","Unknown"
"BUB","Unknown"
"BUBAN","Unknown"
"BUC","Unknown"
"BUCG","Unknown"
"BUCN","Unknown"
"BUDE","Unknown"
"BUDGE","Unknown"
"BUDRE","Unknown"
"BUDY","Unknown"
"BUE","Unknown"
"BUE.","Unknown"
"BUEG","Unknown"
"BUEGA","Unknown"
"BUEGE","Unknown"
"BUEGI","Unknown"
"BUEL","Blue"
"BUERG","Unknown"
"BUG","Unknown"
"BUGA","Unknown"
"BUGAE","Unknown"
"BUGAG","Unknown"
"BUGAI","Unknown"
"BUGAN","Unknown"
"BUGAR","Unknown"
"BUGD","Unknown"
"BUGDY","Unknown"
"BUGE","Unknown"
"BUGEN","Unknown"
"BUGER","Unknown"
"BUGEY","Unknown"
"BUGFE","Unknown"
"BUGH","Unknown"
"BUGHD","Unknown"
"BUGI","Unknown"
"BUGN","Unknown"
"BUGR","Unknown"
"BUGRG","Unknown"
"BUGRU","Unknown"
"BUGU","Unknown"
"BUGUN","Unknown"
"BUGUR","Unknown"
"BUGWE","Unknown"
"BUGY","Unknown"
"BUH","Unknown"
"BUHT","Unknown"
"BUI","Unknown"
"BUIC","Unknown"
"BUICK","Unknown"
"BUIE","Unknown"
"BUIG","Unknown"
"BUIGE","Unknown"
"BUING","Unknown"
"BUIO","Unknown"
"BUJE","Unknown"
"BUK","Unknown"
"BUKG","Unknown"
"BUKGA","Unknown"
"BUL","Unknown"
"BULAR","Unknown"
"BULE","Unknown"
"BULGU","Unknown"
"BUM","Unknown"
"BUMGN","Unknown"
"BUMT","Unknown"
"BUN","Unknown"
"BUNC","Unknown"
"BUND","Unknown"
"BUNDY","Unknown"
"BUNG","Unknown"
"BUNGA","Unknown"
"BUNGD","Unknown"
"BUNGE","Unknown"
"BUNGO","Unknown"
"BUNGR","Unknown"
"BUNGU","Unknown"
"BUNN","Unknown"
"BUNSU","Unknown"
"BUO","Unknown"
"BUR","Unknown"
"BUR.","Unknown"
"BUR/B","Unknown"
"BUR/G","Unknown"
"BUR/R","Unknown"
"BURA","Unknown"
"BURAD","Unknown"
"BURAN","Unknown"
"BURAT","Unknown"
"BURAU","Unknown"
"BURB","Unknown"
"BURCI","Unknown"
"BURCU","Unknown"
"BURD","Unknown"
"BURDA","Unknown"
"BURDG","Unknown"
"BURDU","Unknown"
"BURDY","Unknown"
"BURE","Unknown"
"BUREA","Unknown"
"BUREG","Unknown"
"BUREN","Unknown"
"BURER","Unknown"
"BUREU","Unknown"
"BUREY","Unknown"
"BURG","Unknown"
"BURG'","Unknown"
"BURG.","Unknown"
"BURG/","Unknown"
"BURGA","Unknown"
"BURGD","Unknown"
"BURGE","Unknown"
"BURGH","Unknown"
"BURGI","Unknown"
"BURGL","Unknown"
"BURGN","Unknown"
"BURGO","Unknown"
"BURGR","Unknown"
"BURGS","Unknown"
"BURGU","Unknown"
"BURGW","Unknown"
"BURGY","Unknown"
"BURH","Unknown"
"BURHA","Unknown"
"BURHG","Unknown"
"BURHU","Unknown"
"BURIN","Unknown"
"BURIT","Unknown"
"BURK","Unknown"
"BURL","Unknown"
"BURLA","Unknown"
"BURLE","Unknown"
"BURLI","Unknown"
"BURLO","Unknown"
"BURLU","Unknown"
"BURN","Unknown"
"BURND","Unknown"
"BURNG","Unknown"
"BURNT","Unknown"
"BURNU","Unknown"
"BURNY","Unknown"
"BURPL","Unknown"
"BURQU","Unknown"
"BURS","Unknown"
"BURSA","Unknown"
"BURSE","Unknown"
"BURST","Unknown"
"BURSU","Unknown"
"BURT","Unknown"
"BURTE","Unknown"
"BURU","Unknown"
"BURUA","Unknown"
"BURUD","Unknown"
"BURUG","Unknown"
"BURUN","Unknown"
"BURUR","Unknown"
"BURY","Unknown"
"BURYD","Unknown"
"BUS","Unknown"
"BUT","Unknown"
"BUTZ","Unknown"
"BUW","Unknown"
"BUWH","Unknown"
"BUWTE","Unknown"
"BUY","Unknown"
"BUYGE","Unknown"
"BV","Unknown"
"BV..I","Unknown"
"BVD","Unknown"
"BVK","Unknown"
"BVL","Unknown"
"BVLAC","Black"
"BVLK","Black"
"BVLKB","Unknown"
"BVLUE","Blue"
"BVO","Unknown"
"BVR","Unknown"
"BVVK","Unknown"
"BW","Unknown"
"BW CR","Unknown"
"BW/GR","Unknown"
"BW/GY","Unknown"
"BWAY","Unknown"
"BWCG","Unknown"
"BWD","Unknown"
"BWE","Unknown"
"BWG","Unknown"
"BWGL","Unknown"
"BWH","Unknown"
"BWHT","Unknown"
"BWM","Unknown"
"BWN","Unknown"
"BWN.","Unknown"
"BWNE","Unknown"
"BWNGY","Unknown"
"BWO","Unknown"
"BWON","Unknown"
"BWORN","Brown"
"BWR","Unknown"
"BWRG","Unknown"
"BWRN","Brown"
"BWRWN","Brown"
"BWS","Unknown"
"BWTH","Unknown"
"BWV","Unknown"
"BWW","Unknown"
"BWW./","Unknown"
"BWWH","Unknown"
"BWWN","Unknown"
"BWY","Unknown"
"BX","Unknown"
"BXC","Unknown"
"BXN","Unknown"
"BY","Unknown"
"BY.","Unknown"
"BYGY","Unknown"
"BYL","Unknown"
"BYO.O","Unknown"
"BYRG","Unknown"
"BZ","Unknown"
"BZ BK","Unknown"
"BZ.","Unknown"
"BZE.","Unknown"
"BZN","Unknown"
"BZNO","Unknown"
"B[LUE","Blue"
"B]","Unknown"
"Beige","Unknown"
"Black","Black"
"Blue","Blue"
"Blue,","Blue"
"Bronz","Unknown"
"Brown","Brown"
"C","Unknown"
"C  L","Unknown"
"C .,C","Unknown"
"C I","Unknown"
"C V","Unknown"
"C,","Unknown"
"C,.,,","Unknown"
"C,=OJ","Unknown"
"C,K","Unknown"
"C-","Unknown"
"C.","Unknown"
"C. AA","Unknown"
"C.#,","Unknown"
"C..","Unknown"
"C.GMN","Unknown"
"C.JH","Unknown"
"C.M","Unknown"
"C.OI","Unknown"
"C.OIO","Unknown"
"C.UC","Unknown"
"C.WC","Unknown"
"C/CM","Unknown"
"C=R","Unknown"
"C=RY","Unknown"
"C=SU","Unknown"
"C=Y","Unknown"
"CA","Unknown"
"CAB","Unknown"
"CABON","Unknown"
"CACY","Unknown"
"CAD","Unknown"
"CADI","Unknown"
"CADIL","Unknown"
"CADY","Unknown"
"CAGLE","Unknown"
"CAHRC","Unknown"
"CAJKC","Unknown"
"CAL","Unknown"
"CAM","Unknown"
"CAMER","Unknown"
"CAMO","Unknown"
"CAMOF","Unknown"
"CAMOU","Unknown"
"CAN","Unknown"
"CANA","Unknown"
"CANDY","Unknown"
"CANTE","Unknown"
"CANZO","Unknown"
"CAPON","Unknown"
"CAR","Unknown"
"CARAN","Unknown"
"CARB","Unknown"
"CARE","Unknown"
"CARG","Unknown"
"CARGO","Unknown"
"CARMO","Unknown"
"CARN","Unknown"
"CASH","Unknown"
"CASHM","Unknown"
"CAW","Unknown"
"CAYN.","Unknown"
"CB","Unknown"
"CBK","Unknown"
"CBN","Unknown"
"CBN.","Unknown"
"CBROW","Unknown"
"CC","Unknown"
"CC  .","Unknown"
"CCL..","Unknown"
"CCXY","Unknown"
"CDI L","Unknown"
"CDIN","Unknown"
"CDL","Unknown"
"CDM","Unknown"
"CDR","Unknown"
"CDVH","Unknown"
"CEDAR","Unknown"
"CEG","Unknown"
"CEHV","Unknown"
"CELZY","Unknown"
"CEMEN","Unknown"
"CEPPE","Unknown"
"CER","Unknown"
"CGI","Unknown"
"CGRAY","Unknown"
"CGY","Unknown"
"CH","Unknown"
"CH-","Unknown"
"CH...","Unknown"
"CHA","Unknown"
"CHAEL","Unknown"
"CHAM","Unknown"
"CHAM.","Unknown"
"CHAMA","Unknown"
"CHAME","Unknown"
"CHAMN","Unknown"
"CHAMP","Unknown"
"CHAN","Unknown"
"CHANA","Unknown"
"CHANP","Unknown"
"CHANY","Unknown"
"CHAP","Unknown"
"CHAPA","Unknown"
"CHAPI","Unknown"
"CHAPM","Unknown"
"CHAR","Unknown"
"CHAR.","Unknown"
"CHARA","Unknown"
"CHARC","Unknown"
"CHARE","Unknown"
"CHARL","Unknown"
"CHARO","Unknown"
"CHARR","Unknown"
"CHARU","Unknown"
"CHARY","Unknown"
"CHE","Unknown"
"CHER","Unknown"
"CHERC","Unknown"
"CHERO","Unknown"
"CHERP","Unknown"
"CHERR","Unknown"
"CHERY","Red"
"CHEV","Unknown"
"CHEVB","Unknown"
"CHEVE","Unknown"
"CHEVR","Unknown"
"CHEVY","Unknown"
"CHEY","Unknown"
"CHEYE","Unknown"
"CHGD","Unknown"
"CHGY","Unknown"
"CHHR","Unknown"
"CHILA","Unknown"
"CHIRC","Unknown"
"CHKM","Unknown"
"CHMAP","Unknown"
"CHMN","Unknown"
"CHMP","Unknown"
"CHMPE","Unknown"
"CHMPG","Unknown"
"CHNEL","Unknown"
"CHOC.","Unknown"
"CHOKE","Unknown"
"CHOME","Unknown"
"CHOMP","Unknown"
"CHORC","Unknown"
"CHOV","Unknown"
"CHRAS","Unknown"
"CHRAY","Unknown"
"CHRCL","Unknown"
"CHRE","Unknown"
"CHREY","Unknown"
"CHROM","Unknown"
"CHRRY","Red"
"CHRU","Unknown"
"CHRY","Unknown"
"CHRYS","Unknown"
"CHUMP","Unknown"
"CHUR","Unknown"
"CHUW","Unknown"
"CHY","Unknown"
"CHY.","Unknown"
"CI","Unknown"
"CI.","Unknown"
"CIHI","Unknown"
"CIK","Unknown"
"CIME","Unknown"
"CINGE","Unknown"
"CINN","Unknown"
"CINNA","Unknown"
"CIO","Unknown"
"CIR","Unknown"
"CIRT","Unknown"
"CIS","Unknown"
"CISIU","Unknown"
"CIX","Unknown"
"CIY","Unknown"
"CJ SC","Unknown"
"CJARC","Unknown"
"CJH","Unknown"
"CJJIS","Unknown"
"CJJNJ","Unknown"
"CJKN","Unknown"
"CJM","Unknown"
"CJNIM","Unknown"
"CJR","Unknown"
"CJWM","Unknown"
"CK","Unknown"
"CK..P","Unknown"
"CL","Unknown"
"CL.","Unknown"
"CLACK","Black"
"CLAY","Unknown"
"CLD","Unknown"
"CLK","Unknown"
"CLR","Unknown"
"CLT","Unknown"
"CLV","Unknown"
"CLY","Unknown"
"CM","Unknown"
"CM,","Unknown"
"CM,SW","Unknown"
"CM.","Unknown"
"CMA","Unknown"
"CMNIC","Unknown"
"CMS","Unknown"
"CMUM#","Unknown"
"CMY","Unknown"
"CN","Unknown"
"CN.","Unknown"
"CNC./","Unknown"
"CNH","Unknown"
"CNI","Unknown"
"CNJ","Unknown"
"CNKY","Unknown"
"CNMN","Unknown"
"CNN/N","Unknown"
"CNY","Unknown"
"CO","Unknown"
"CO EI","Unknown"
"CO OB","Unknown"
"CO.","Unknown"
"CO.,,","Unknown"
"COA","Unknown"
"COAL","Black"
"COBAL","Unknown"
"COBLT","Unknown"
"COCA","Unknown"
"COCIS","Unknown"
"COFFE","Brown"
"COH","Unknown"
"COI","Unknown"
"COIBI","Unknown"
"COII/","Unknown"
"COIO","Unknown"
"COIO,","Unknown"
"COIO.","Unknown"
"COIOA","Unknown"
"COIOB","Unknown"
"COIOH","Unknown"
"COL","Unknown"
"COLA","Unknown"
"COLD","Unknown"
"COLDE","Unknown"
"COLDR","Unknown"
"COLEY","Unknown"
"COLIT","Unknown"
"COLO","Unknown"
"COLOR","Unknown"
"COM","Unknown"
"COM-O","Unknown"
"COMRE","Unknown"
"CON","Unknown"
"CONDO","Unknown"
"CONT","Unknown"
"CONV","Unknown"
"COO","Unknown"
"COO ,","Unknown"
"COOPE","Unknown"
"COOPP","Unknown"
"COP","Unknown"
"COP.","Unknown"
"COPBK","Unknown"
"COPER","Brown"
"COPP","Unknown"
"COPPE","Unknown"
"COPPK","Unknown"
"COPPR","Brown"
"COR","Unknown"
"CORAL","Unknown"
"CORAN","Unknown"
"CORAY","Unknown"
"CORBO","Unknown"
"CORDV","Unknown"
"CORE","Unknown"
"COREY","Unknown"
"CORN","Unknown"
"CORON","Unknown"
"CORY","Unknown"
"COUP","Unknown"
"COUR","Unknown"
"COVER","Unknown"
"COWN","Unknown"
"COWW","Unknown"
"COZLI","Unknown"
"CP","Unknown"
"CP.","Unknown"
"CPEY","Unknown"
"CPN","Unknown"
"CPR","Unknown"
"CPR.","Unknown"
"CPS","Unknown"
"CQ","Unknown"
"CR","Unknown"
"CRA","Unknown"
"CRAGE","Unknown"
"CRAM","Unknown"
"CRANB","Unknown"
"CRANE","Unknown"
"CRAY","Unknown"
"CRCY","Unknown"
"CRE","Unknown"
"CREA","Unknown"
"CREA,","Unknown"
"CREAM","White"
"CREAN","Unknown"
"CREEE","Unknown"
"CREEN","Green"
"CREM","Unknown"
"CREME","Unknown"
"CREPE","Unknown"
"CREY","Gray"
"CRG","Unknown"
"CRIK","Unknown"
"CRM","Unknown"
"CRM.","Unknown"
"CRN","Unknown"
"CRN.","Unknown"
"CROAM","Unknown"
"CROME","Unknown"
"CROWN","Brown"
"CRP","Unknown"
"CRV","Unknown"
"CRY","Unknown"
"CRYBK","Unknown"
"CS-Y","Unknown"
"CSCEY","Unknown"
"CSIGO","Unknown"
"CSL","Unknown"
"CSY","Unknown"
"CT","Unknown"
"CT BL","Unknown"
"CT,","Unknown"
"CT/GR","Unknown"
"CT/GY","Unknown"
"CTCCY","Unknown"
"CTGY","Unknown"
"CTJ","Unknown"
"CTOW","Unknown"
"CTR","Unknown"
"CTRC","Unknown"
"CTY.","Unknown"
"CUH.","Unknown"
"CUIV,","Unknown"
"CUSTA","Unknown"
"CUSTO","Unknown"
"CUT","Unknown"
"CUZW","Unknown"
"CVRM","Unknown"
"CVS","Unknown"
"CVY","Unknown"
"CW","Unknown"
"CWHIT","White"
"CWHM","Unknown"
"CWN","Unknown"
"CWX","Unknown"
"CWZQW","Unknown"
"CY","Unknown"
"CY,N","Unknown"
"CYI","Unknown"
"CYPRS","Unknown"
"CYRHY","Unknown"
"CYY","Unknown"
"CZ","Unknown"
"CZ,NT","Unknown"
"CZHY","Unknown"
"CZQ,","Unknown"
"CZS-.","Unknown"
"CZUY","Unknown"
"Cream","White"
"D","Unknown"
"D B","Unknown"
"D BL","Unknown"
"D BLU","Blue"
"D BRO","Unknown"
"D G","Unknown"
"D GN","Unknown"
"D GRA","Unknown"
"D GRE","Green"
"D GY","Gray"
"D PUR","Purple"
"D RED","Red"
"D W","Unknown"
"D,NZC","Unknown"
"D. BL","Unknown"
"D. GR","Unknown"
"D..,.","Unknown"
"D.BLU","Blue"
"D.GRA","Unknown"
"D.GRE","Green"
"D.GRN","Unknown"
"D.GY","Unknown"
"D/-","Unknown"
"D//C","Unknown"
"D//E","Unknown"
"D/B","Unknown"
"D/BK","Black"
"D/GRE","Green"
"D/GRY","Gray"
"D/M","Unknown"
"D/RED","Red"
"D/TAN","Unknown"
"D/WN","Unknown"
"DA","Unknown"
"DA RE","Red"
"DANHG","Unknown"
"DARBL","Blue"
"DARGR","Green"
"DARIS","Unknown"
"DARK","Black"
"DARKB","Blue"
"DARKG","Green"
"DARKN","Unknown"
"DARKO","Unknown"
"DARKP","Purple"
"DARKR","Red"
"DARKT","Unknown"
"DB","Unknown"
"DBC","Unknown"
"DBK","Unknown"
"DBL","Unknown"
"DBLUE","Blue"
"DBR","Unknown"
"DBROW","Brown"
"DC","Unknown"
"DCP","Unknown"
"DE","Unknown"
"DEAL","Unknown"
"DECAL","Unknown"
"DED","Unknown"
"DEEP","Unknown"
"DEL","Unknown"
"DELLA","Unknown"
"DELLO","Unknown"
"DELV","Unknown"
"DELVE","Unknown"
"DER","Unknown"
"DERD","Unknown"
"DESIG","Unknown"
"DESMT","Unknown"
"DEVL","Unknown"
"DG/GR","Unknown"
"DGD","Unknown"
"DGN","Unknown"
"DGOLD","Gold"
"DGR","Unknown"
"DGR-D","Unknown"
"DGRAY","Gray"
"DGREE","Green"
"DGREY","Gray"
"DGRY","Gray"
"DGY","Gray"
"DH","Unknown"
"DHA","Unknown"
"DI","Unknown"
"DIC","Unknown"
"DIGCK","Unknown"
"DIINW","Unknown"
"DIK","Unknown"
"DIL.","Unknown"
"DILUU","Unknown"
"DILV","Unknown"
"DILVE","Unknown"
"DIMEG","Unknown"
"DIMH","Unknown"
"DIRTY","Unknown"
"DISCO","Unknown"
"DIUC","Unknown"
"DIWVV","Unknown"
"DJ GY","Unknown"
"DK","Unknown"
"DK B","Blue"
"DK BG","Unknown"
"DK BL","Black"
"DK BR","Brown"
"DK CH","Unknown"
"DK D","Unknown"
"DK DR","Unknown"
"DK GN","Green"
"DK GR","Green"
"DK GY","Gray"
"DK R","Red"
"DK RD","Red"
"DK RE","Red"
"DK SI","Silver"
