name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"New York City,USA",2014-01-01,0.8,-4.4,-1.7,0.8,-10,-5.2,-10.9,49.8,0,0,0,,,,44.3,18.8,214.5,1027.4,45.1,16,101.7,8.8,4,,2014-01-01T07:20:11,2014-01-01T16:39:19,0,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
"New York City,USA",2014-01-02,0.6,-7.1,-2.9,-2.9,-15.4,-9.3,-6.8,75.1,5.61,100,20.83,snow,,,50,27.7,49,1015.2,95.1,12.2,24.4,2,1,,2014-01-02T07:20:16,2014-01-02T16:40:10,0.01,"Snow, Overcast",Cloudy skies throughout the day with snow.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
"New York City,USA",2014-01-03,-7.8,-12.2,-10.3,-14.8,-21.3,-18.3,-16.3,62.9,7.8,100,37.5,snow,,17.9,50,28.5,276.8,1017.6,39.6,9.4,92.8,8.1,5,,2014-01-03T07:20:19,2014-01-03T16:41:03,0.03,"Snow, Partially cloudy",Clearing in the afternoon with snow clearing later.,snow,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
"New York City,USA",2014-01-04,-2.5,-13.1,-7.7,-5,-20,-11,-16.9,48.6,0,0,0,,,17.7,30.4,15,252.5,1030.4,16.6,16,113.5,9.9,5,,2014-01-04T07:20:20,2014-01-04T16:41:57,0.07,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
"New York City,USA",2014-01-05,3.4,-3.7,-0.5,1.9,-6.4,-2.4,-3.5,80.8,3.07,100,29.17,"rain,snow",,13.8,27.7,11.4,139,1022.2,70.4,7.4,20.3,1.7,1,,2014-01-05T07:20:19,2014-01-05T16:42:53,0.11,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
"New York City,USA",2014-01-06,12.1,-4,6.8,12.1,-11.7,4,2,73.9,7.57,100,50,rain,,4,63.6,40.1,234.4,1000.8,86.5,10.2,39.7,3.3,2,,2014-01-06T07:20:15,2014-01-06T16:43:50,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"72505394728,KEWR,72502014734,KLGA,KNYC,72503014732"
"New York City,USA",2014-01-07,-6.9,-15.9,-13,-17.3,-27.4,-22.8,-24.2,38.5,0,0,0,,,,65.1,46.7,275.3,1020.1,6.3,16,113.1,9.7,5,,2014-01-07T07:20:09,2014-01-07T16:44:49,0.22,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
"New York City,USA",2014-01-08,-5.7,-13,-9.5,-8.8,-22.1,-15.9,-19.8,43.2,0,0,0,,,,35.3,22.3,270.8,1032.3,29.4,16,115.8,10,5,,2014-01-08T07:20:01,2014-01-08T16:45:48,0.27,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
"New York City,USA",2014-01-09,0.2,-5.8,-3,0.2,-10.4,-5.5,-13.6,44.3,0.15,100,4.17,snow,,,29.5,18.4,209.2,1035.8,30.8,16,118.1,10.3,5,,2014-01-09T07:19:50,2014-01-09T16:46:49,0.32,"Snow, Partially cloudy",Partly cloudy throughout the day with morning snow.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
"New York City,USA",2014-01-10,2.3,-1.5,0.4,1.5,-4.9,-1.4,-3.4,77.1,16.61,100,54.17,"rain,snow",,,,9.2,45.6,1030.4,95.4,7.8,34.6,3,2,,2014-01-10T07:19:38,2014-01-10T16:47:52,0.37,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
