name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"New York City,USA",2016-01-13,-1.1,-5.4,-3.5,-6.8,-12.4,-10,-14.8,41.7,0,0,0,,0,0,57.2,30.5,277.6,1013.7,20.6,16,106.9,9.4,4,,2016-01-13T07:18:55,2016-01-13T16:50:32,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
"New York City,USA",2016-01-14,3.5,-5.3,-0.8,3.5,-10.3,-4.3,-11.1,45.7,0,0,0,,0,0,46.4,21.7,256.9,1014.1,93.2,16,102,8.9,5,,2016-01-14T07:18:35,2016-01-14T16:51:38,0.12,Overcast,Cloudy skies throughout the day.,cloudy,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
"New York City,USA",2016-01-15,10.3,1.4,5.8,10.3,-1,4.3,-0.5,64.3,0.07,100,4.17,rain,0,0,37.1,12.4,82.8,1010.3,52.8,15.4,58.7,5.1,3,,2016-01-15T07:18:12,2016-01-15T16:52:45,0.17,"Rain, Partially cloudy",Clearing in the afternoon with late afternoon rain.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
"New York City,USA",2016-01-16,10.7,5.7,7.6,10.7,2.7,5.6,2.3,70.9,6.33,100,33.33,rain,0,0,50,26.4,215.8,1000,93.9,14,91.3,7.8,5,,2016-01-16T07:17:47,2016-01-16T16:53:52,0.22,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
"New York City,USA",2016-01-17,5.9,-1,1.7,3.8,-4.7,-1.5,-5,62.6,1.36,100,16.67,"rain,snow",1.9,0.6,35.3,15.3,211,1008.7,75.9,13.3,25.2,2.1,1,,2016-01-17T07:17:20,2016-01-17T16:55:00,0.28,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
"New York City,USA",2016-01-18,-0.4,-7.1,-3.6,-2.2,-14.5,-10.2,-13.6,47.7,0.06,100,4.17,snow,1.1,1.9,53.5,34.8,286.5,1009.8,31.4,15.6,102.2,8.8,4,,2016-01-18T07:16:51,2016-01-18T16:56:09,0.34,"Snow, Partially cloudy",Partly cloudy throughout the day with morning snow.,snow,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
"New York City,USA",2016-01-19,-1.8,-8.5,-5,-7.3,-17.2,-12.2,-15.8,43.3,0,0,0,,0,0.2,54.4,38.4,290.8,1016.7,12.6,16,112.4,9.7,4,,2016-01-19T07:16:19,2016-01-19T16:57:19,0.39,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
"New York City,USA",2016-01-20,2.6,-2.4,0.1,0.3,-9.2,-3.8,-9.3,49.7,0,0,0,,0,0,81.7,36.3,311.5,1020.5,45.7,16,102.7,8.8,5,,2016-01-20T07:15:46,2016-01-20T16:58:29,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
"New York City,USA",2016-01-21,2.2,-2.6,-0.7,-1.6,-7.7,-5,-10.8,46.6,0,0,0,,0,0,43.1,22.3,322.3,1020.6,32.3,16,117.9,10.3,5,,2016-01-21T07:15:10,2016-01-21T16:59:40,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
"New York City,USA",2016-01-22,-1.5,-6,-3.3,-1.6,-12.7,-7.7,-14.6,41.7,0,0,0,,10.1,3.3,46.4,19.8,142.6,1023.4,47.1,15.5,52.3,4.6,2,,2016-01-22T07:14:33,2016-01-22T17:00:52,0.49,Partially cloudy,Becoming cloudy in the afternoon.,snow,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
"New York City,USA",2016-01-23,-2.6,-4.2,-3.2,-9.1,-12.2,-10.6,-5.5,84.5,46.8,100,95.83,snow,33.7,24.7,66.6,40.8,65.8,1007.8,71.7,0.9,58.1,5,3,,2016-01-23T07:13:53,2016-01-23T17:02:04,0.5,"Snow, Partially cloudy",Partly cloudy throughout the day with a chance of snow throughout the day.,snow,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
"New York City,USA",2016-01-24,1.9,-6.3,-2.1,0.3,-12.2,-6.4,-11.6,49.1,0.33,100,8.33,snow,15.7,55,50,27.2,282.5,1013.4,42.7,14.5,138.1,12,6,,2016-01-24T07:13:12,2016-01-24T17:03:16,0.5,"Snow, Partially cloudy",Partly cloudy throughout the day with early morning snow.,snow,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
"New York City,USA",2016-01-25,3.3,-2.1,0.5,3.3,-5.1,-1,-7.6,54.4,0,0,0,,1.7,51.7,,10.5,209.6,1024.1,41.9,15.5,110.7,9.7,5,,2016-01-25T07:12:28,2016-01-25T17:04:29,0.52,Partially cloudy,Partly cloudy throughout the day.,snow,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
"New York City,USA",2016-01-26,8.5,2.3,5.6,6.6,-0.1,3.4,-1.7,59.9,0,0,0,,0,43.8,46.4,16.8,218.5,1017.2,46.7,15.8,75,6.6,3,,2016-01-26T07:11:43,2016-01-26T17:05:42,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
"New York City,USA",2016-01-27,7.5,1.7,5.6,6.2,-1.4,3,-4.5,49,0.06,100,4.17,rain,0,30,41.5,21.5,283.2,1016.7,59,15.9,106.2,9.3,5,,2016-01-27T07:10:55,2016-01-27T17:06:56,0.56,"Rain, Partially cloudy",Clearing in the afternoon with early morning rain.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
"New York City,USA",2016-01-28,5.7,0,2.8,3.8,-2.7,1.2,-6.5,50.8,0,0,0,,0,21.4,31.7,19.4,177,1013.3,28.2,16,135.2,11.7,6,,2016-01-28T07:10:06,2016-01-28T17:08:09,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
"New York City,USA",2016-01-29,4.6,0,3,2.9,-4.8,-0.4,-5.7,53.2,0,0,0,,0,18.4,47.8,26.6,274.8,1001.4,67.5,15.5,72.8,6.3,2,,2016-01-29T07:09:15,2016-01-29T17:09:23,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
"New York City,USA",2016-01-30,3.9,-2,1,1.6,-7.6,-2.5,-8.5,50,0,0,0,,0,16.6,46.4,20.3,258.9,1016.1,19.4,16,134.6,11.6,5,,2016-01-30T07:08:22,2016-01-30T17:10:37,0.68,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
"New York City,USA",2016-01-31,12.7,2.3,6.7,12.7,-1.3,5,-2.1,54.8,0,0,0,,0.9,13.9,31.7,16.6,201.2,1012.7,30.4,16,103.5,8.9,5,,2016-01-31T07:07:27,2016-01-31T17:11:51,0.72,Partially cloudy,Partly cloudy throughout the day.,snow,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
"New York City,USA",2016-02-01,14.8,7.7,10.3,14.8,5.5,9.4,1.4,54.5,0.18,100,8.33,rain,0,9.2,33.5,14.4,247.5,1010.3,55.4,15.8,50,4.3,2,,2016-02-01T07:06:30,2016-02-01T17:13:06,0.77,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
"New York City,USA",2016-02-02,9.7,3.3,6.5,9.7,1.7,5.4,-3.7,48.9,0,0,0,,0.8,4.3,,12.8,145.5,1025,13.2,16,145.9,12.6,6,,2016-02-02T07:05:32,2016-02-02T17:14:20,0.82,Clear,Clear conditions throughout the day.,snow,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
"New York City,USA",2016-02-03,14.1,5.4,10.5,14.1,3.6,10,7.2,80,15.33,100,45.83,rain,7.5,5.6,47,25.9,153.4,1018.1,84.9,12.3,56.9,4.9,3,,2016-02-03T07:04:32,2016-02-03T17:15:34,0.87,"Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
"New York City,USA",2016-02-04,14.2,6.7,11.4,14.2,3.3,10.9,4.5,64.7,0.12,100,8.33,rain,5.2,3.3,47.5,21.5,245.9,1015,99.1,15.1,75.4,6.6,4,,2016-02-04T07:03:31,2016-02-04T17:16:49,0.91,"Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
"New York City,USA",2016-02-05,6.6,-0.4,2.1,2.8,-5.9,-2.2,-4.3,65.8,10.9,100,45.83,"rain,snow",1,2.7,47.9,24.2,176.2,1020.5,62.1,10.3,82.3,7,4,,2016-02-05T07:02:28,2016-02-05T17:18:03,0.95,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow clearing later.,snow,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
"New York City,USA",2016-02-06,4.4,-0.8,1.9,2.9,-4.4,-1.1,-7.5,50.1,0,0,0,,1.4,2,32.2,17.4,252.8,1027.5,24,16,97.3,8.4,4,,2016-02-06T07:01:23,2016-02-06T17:19:17,0.98,Partially cloudy,Partly cloudy throughout the day.,snow,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
"New York City,USA",2016-02-07,8.2,0.8,4,6.5,-1.7,2.1,-5,52.6,0,0,0,,5.9,3.3,33.5,22.9,150.7,1019.7,26.1,16,102.6,8.8,5,,2016-02-07T07:00:17,2016-02-07T17:20:31,1,Partially cloudy,Partly cloudy throughout the day.,snow,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
"New York City,USA",2016-02-08,4,-1.9,1.3,-0.9,-5.7,-3.4,-4.4,66.4,1.26,100,20.83,"rain,snow",0,1.3,44.6,27.1,40.6,1008.3,86.8,13.8,62.7,5.5,3,,2016-02-08T06:59:09,2016-02-08T17:21:45,1,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
"New York City,USA",2016-02-09,2,-2.7,-0.4,1.6,-7.4,-3.2,-5.1,71.1,0.12,100,12.5,"rain,snow",0,0,27.7,16.6,66.2,1003.7,96.6,15.1,101,8.6,4,,2016-02-09T06:58:00,2016-02-09T17:22:59,0.01,"Snow, Rain, Overcast",Cloudy skies throughout the day with early morning snow or rain.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
"New York City,USA",2016-02-10,3.6,-0.5,1.5,1,-5.3,-1.8,-4.9,64.1,0.27,100,8.33,"rain,snow",1.9,0.6,38.9,29.4,248.3,1003.6,90.1,12.5,90,7.9,5,,2016-02-10T06:56:49,2016-02-10T17:24:13,0.02,"Snow, Rain, Overcast",Cloudy skies throughout the day with early morning snow or rain.,snow,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
"New York City,USA",2016-02-11,-0.5,-6.9,-4.2,-5.7,-15,-11,-16.5,38.5,0.05,100,4.17,snow,1.2,2.2,58.4,36,291,1013.2,61.2,15.3,116.2,10,5,,2016-02-11T06:55:37,2016-02-11T17:25:27,0.06,"Snow, Partially cloudy",Partly cloudy throughout the day with early morning snow.,snow,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
"New York City,USA",2016-02-12,-3.2,-8.8,-6,-7.7,-15.7,-11.3,-17.6,39.7,0,0,0,,0,0.2,43,24.6,263.9,1020.4,46.3,16,117.3,10.1,6,,2016-02-12T06:54:23,2016-02-12T17:26:40,0.1,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
"New York City,USA",2016-02-13,-5,-14,-8.2,-8.7,-24.1,-16.3,-19.2,42.8,0,0,0,,0,0,61.7,36.1,294.7,1018,41,15.9,120.4,10.4,4,,2016-02-13T06:53:08,2016-02-13T17:27:53,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
"New York City,USA",2016-02-14,-9,-17.7,-12.8,-9.6,-28.6,-19.8,-25.9,33.8,0,0,0,,0,0,48,30.6,317.8,1031.8,9.7,16,174.5,15.1,7,,2016-02-14T06:51:52,2016-02-14T17:29:06,0.2,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
"New York City,USA",2016-02-15,1,-10,-5.4,-2.4,-14.5,-9,-12.5,60.7,8.44,100,41.67,"rain,snow",1.9,0.6,,16.1,76.6,1029.9,83.2,10.3,51.6,4.3,2,,2016-02-15T06:50:35,2016-02-15T17:30:19,0.26,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
"New York City,USA",2016-02-16,12,1.5,8.5,12,-0.7,7.2,5.7,82.7,16.19,100,50,"rain,snow",1.1,2.2,62.9,37.6,188.4,1007.5,91.8,10.1,28.5,2.4,1,,2016-02-16T06:49:16,2016-02-16T17:31:31,0.32,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
"New York City,USA",2016-02-17,4,1.9,3.2,0.7,-1.8,-0.4,-3.9,59.9,0,0,0,,0,0.2,52.1,19.7,300.2,1015.3,74.3,16,142.2,12.2,6,,2016-02-17T06:47:57,2016-02-17T17:32:44,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
"New York City,USA",2016-02-18,2.1,-2.4,-0.1,-1.1,-7.5,-4.6,-12.9,39.3,0,0,0,,0,0,42.5,21.4,288.8,1029.1,9.6,16,180,15.4,7,,2016-02-18T06:46:36,2016-02-18T17:33:55,0.41,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
"New York City,USA",2016-02-19,3.8,-4.6,-0.3,1.7,-8.5,-3.5,-10.3,48.1,0,0,0,,0,0,35.3,16.6,118.5,1031.5,44.5,16,126.2,10.8,5,,2016-02-19T06:45:14,2016-02-19T17:35:07,0.45,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
"New York City,USA",2016-02-20,16.3,3.8,10.4,16.3,0.1,9.1,-0.7,48,0,0,0,,0,0,42.5,23.4,221.6,1013.6,45.2,16,134.7,11.6,5,,2016-02-20T06:43:51,2016-02-20T17:36:18,0.47,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
"New York City,USA",2016-02-21,12.8,7.4,10.7,12.8,4.9,10.3,0.4,49.7,1.14,100,25,rain,0,0,38.9,18,211,1012.5,51.9,15.9,105.4,9.2,5,,2016-02-21T06:42:27,2016-02-21T17:37:29,0.49,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
"New York City,USA",2016-02-22,11.4,3.6,6.9,11.4,0.9,5.2,-3.2,50,0,0,0,,0,0,29.5,17.3,172.4,1019.5,33.1,16,186.1,16,7,,2016-02-22T06:41:02,2016-02-22T17:38:40,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
"New York City,USA",2016-02-23,4.2,1.9,2.8,0.3,-4,-2.1,-1.8,73.5,6.37,100,50,"rain,snow",0,0,53.6,34.6,60.7,1024.8,82.8,12,36.5,3.2,1,,2016-02-23T06:39:35,2016-02-23T17:39:51,0.5,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
"New York City,USA",2016-02-24,14.6,2.2,7.1,14.6,-3.2,4.4,5.8,91.3,26.79,100,100,rain,0,0,59,26.6,97.8,1010.1,100,4.4,50.1,4.4,2,,2016-02-24T06:38:08,2016-02-24T17:41:01,0.52,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
"New York City,USA",2016-02-25,15.7,3.6,9.5,15.7,-1.4,7.5,4.3,70.8,4.84,100,16.67,rain,0,0,55.9,33.8,225.2,992.9,88.8,15.5,116.3,10,5,,2016-02-25T06:36:41,2016-02-25T17:42:11,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
"New York City,USA",2016-02-26,3.5,-2,1.1,-0.5,-8.2,-4,-11.7,39.3,0.05,100,4.17,rain,0,0,52.4,31.7,303.1,1010.7,42.4,16,197.3,17.2,7,,2016-02-26T06:35:12,2016-02-26T17:43:20,0.56,"Rain, Partially cloudy",Clearing in the afternoon with early morning rain.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
"New York City,USA",2016-02-27,5.1,-3,1,1.8,-8.9,-2.5,-10.8,41.4,0,0,0,,0,0,36,22,270.4,1017.9,20.8,16,196.9,16.8,7,,2016-02-27T06:33:42,2016-02-27T17:44:29,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
"New York City,USA",2016-02-28,15.9,3.2,9.1,15.9,-0.4,7.5,-4.3,39.7,0,0,0,,0,0,47.9,20.1,225.3,1012.4,21.6,16,194.8,16.8,7,,2016-02-28T06:32:12,2016-02-28T17:45:38,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
"New York City,USA",2016-02-29,15.8,8.3,10.8,15.8,5.8,9.7,0,48,1.34,100,12.5,rain,0,0,48.1,23.8,239,1005.6,35.3,15.6,119,10.4,6,,2016-02-29T06:30:41,2016-02-29T17:46:47,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
"New York City,USA",2016-03-01,10.1,4.3,7.5,10.1,1.2,5.2,-3.1,49,0,0,0,,0,0,40.7,19.5,174.7,1016.5,43.6,16,192.7,16.7,7,,2016-03-01T06:29:09,2016-03-01T17:47:55,0.73,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
"New York City,USA",2016-03-02,12.4,-1,6.3,12.4,-6.5,3.1,-4.2,49.7,3.69,100,25,rain,0,0,59.7,31.8,272.6,1006.3,46.9,15.2,182.5,15.8,6,,2016-03-02T06:27:36,2016-03-02T17:49:03,0.78,"Rain, Partially cloudy",Clearing in the afternoon with rain clearing later.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
"New York City,USA",2016-03-03,2,-3.2,-0.4,1.9,-9.3,-4.4,-13.5,37.4,0,0,0,,1.9,0.6,53.6,24.1,283.1,1022.9,38.1,16,187.7,16.1,7,,2016-03-03T06:26:03,2016-03-03T17:50:11,0.83,Partially cloudy,Partly cloudy throughout the day.,snow,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
"New York City,USA",2016-03-04,4.3,-1,0.9,0.5,-6.9,-3.1,-5.3,65.5,2.42,100,37.5,"rain,snow",1.2,2,35.3,22.8,71.9,1018.9,73.2,10.2,102.5,8.7,4,,2016-03-04T06:24:29,2016-03-04T17:51:18,0.88,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow clearing later.,snow,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
"New York City,USA",2016-03-05,4.5,-1.8,1.3,3.8,-5.7,-1.3,-10.1,43.7,0,0,0,,0,0.2,35.3,17.5,207.8,1021.5,39.3,16,120.8,10.3,4,,2016-03-05T06:22:55,2016-03-05T17:52:25,0.92,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
"New York City,USA",2016-03-06,7,0,3.4,6.9,-2.7,1.8,-9.4,39.2,0,0,0,,0,0,33.5,13.5,141,1024.7,46.5,16,178.4,15.5,7,,2016-03-06T06:21:20,2016-03-06T17:53:32,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
"New York City,USA",2016-03-07,15.8,2.2,8.8,15.8,-1.9,7.4,-1,51.8,0,0,0,,0,0,46.9,25.6,235,1020.9,20.5,14.7,176.7,15.2,7,,2016-03-07T06:19:44,2016-03-07T17:54:39,0.99,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
"New York City,USA",2016-03-08,17.9,8.4,12,17.9,8.4,11.9,2.2,52.4,0,0,0,,0,0,29.5,17.7,144.7,1019.9,42.4,14.2,189.1,16.4,7,,2016-03-08T06:18:08,2016-03-08T17:55:45,1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
"New York City,USA",2016-03-09,24.1,6.6,15.7,24.1,5.5,15.5,4.2,51.8,0,0,0,,0,0,55.4,20.5,137,1018.3,24,12,204.9,17.7,7,,2016-03-09T06:16:32,2016-03-09T17:56:51,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
"New York City,USA",2016-03-10,25.5,17.4,21.4,25.5,17.4,21.4,7.7,42.1,0.85,100,8.33,rain,0,0,47.9,14.7,249.3,1014.2,54.1,15.9,137.6,12,6,,2016-03-10T06:14:55,2016-03-10T17:57:57,0.02,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
"New York City,USA",2016-03-11,20,10.1,14.8,20,10.1,14.8,5.2,55.4,1.28,100,4.17,rain,0,0,49.3,34.9,292.2,1019.3,60.2,15.9,199,17.1,7,,2016-03-11T06:13:18,2016-03-11T17:59:02,0.04,"Rain, Partially cloudy",Clearing in the afternoon with early morning rain.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
