name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"New York City,USA",2016-01-01,5.8,1.7,4.1,3.5,-3.1,0.6,-4.6,53.2,0,0,0,,0,0,44,23.4,282.1,1016.9,71.7,16,71.1,6.1,4,,2016-01-01T07:20:07,2016-01-01T16:38:54,0.72,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
"New York City,USA",2016-01-02,4.4,0.7,2.2,2.5,-4.1,-1.3,-7.7,48,0,0,0,,0,0,40,23,271.1,1016.8,43,16,107.9,9.2,5,,2016-01-02T07:20:13,2016-01-02T16:39:45,0.77,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
"New York City,USA",2016-01-03,7.2,1.6,3.9,4.1,-2.5,0.4,-5.9,49.5,0,0,0,,0,0,42.2,27,261.4,1011.2,19.8,16,109.9,9.6,5,,2016-01-03T07:20:17,2016-01-03T16:40:37,0.81,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
"New York City,USA",2016-01-04,2.4,-9.2,-2.3,-1,-18,-8.1,-12.3,47,0,0,0,,0,0,51.6,36.3,273.4,1017.7,42.8,16,113,9.8,5,,2016-01-04T07:20:19,2016-01-04T16:41:30,0.86,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
"New York City,USA",2016-01-05,-1.8,-11.3,-6.3,-1.8,-20.4,-11,-18.5,39.8,0,0,0,,0,0,44.8,26.5,287.8,1034.5,3.9,16,118.8,10.4,5,,2016-01-05T07:20:19,2016-01-05T16:42:25,0.9,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
"New York City,USA",2016-01-06,4.6,-4,0.2,3.7,-4.8,-1.5,-15,32.4,0,0,0,,0,0,,13.7,253.2,1033.3,4.7,16,117.8,10.2,5,,2016-01-06T07:20:16,2016-01-06T16:43:22,0.94,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
"New York City,USA",2016-01-07,8,-0.4,3.8,8,-3.4,2.8,-10.9,34,0,0,0,,0,0,,10.2,246.3,1025.8,41.7,16,84.3,7.3,4,,2016-01-07T07:20:12,2016-01-07T16:44:20,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
"New York City,USA",2016-01-08,7,1.6,4.6,4.9,-2.5,1.5,-2.6,60.1,0,0,0,,0,0,35.3,20.5,44.8,1022.5,63,16,72.7,6.2,4,,2016-01-08T07:20:04,2016-01-08T16:45:19,0.99,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
"New York City,USA",2016-01-09,8.4,4.6,6.6,6.3,1.1,3.9,3.2,78.4,0.05,100,4.17,rain,0,0,33.5,20.5,62.8,1021.1,97,14.4,31.4,2.8,2,,2016-01-09T07:19:55,2016-01-09T16:46:19,1,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
"New York City,USA",2016-01-10,14.9,5.1,10.6,14.9,0.6,9,7.1,80.2,40.9,100,58.33,rain,0,0,57.1,28.5,158,1001.8,84,9.3,55.4,4.9,3,,2016-01-10T07:19:43,2016-01-10T16:47:21,0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
"New York City,USA",2016-01-11,5,-2.6,0.4,0.5,-7.7,-4.9,-12.8,37.2,0.31,100,4.17,"rain,snow",0,0,51.9,26.7,280.8,1012.4,19.9,16,121.1,10.5,5,,2016-01-11T07:19:30,2016-01-11T16:48:24,0.01,"Snow, Rain",Clear conditions throughout the day with morning rain or snow.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
"New York City,USA",2016-01-12,6.7,-3.8,0.7,3.8,-7.6,-1.8,-9.3,48.2,0,0,0,,0,0,52,34,198.4,1011.4,57.4,16,75.7,6.4,4,,2016-01-12T07:19:13,2016-01-12T16:49:27,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
