name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"New York City,USA",2015-01-01,3.7,-3.1,0.3,1.1,-7.9,-3.9,-12.3,38.7,0,0,0,,,,45.8,23,250.2,1018.6,11.3,16,111.2,9.7,5,,2015-01-01T07:20:09,2015-01-01T16:39:07,0.43,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
"New York City,USA",2015-01-02,5.7,2,3.5,2.3,-2.1,-0.1,-8.3,42,0.02,100,4.17,rain,,,45.8,27.4,257.5,1022.9,37.1,16,102.5,8.9,4,,2015-01-02T07:20:15,2015-01-02T16:39:58,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
"New York City,USA",2015-01-03,4.7,0.3,2,1.4,-3.4,-1.1,-3.2,70.8,15.83,100,45.83,"rain,snow",,,38.5,15.5,74.1,1031.1,69.4,10.2,57.4,4.9,3,,2015-01-03T07:20:19,2015-01-03T16:40:50,0.49,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
"New York City,USA",2015-01-04,13,4.9,8.9,13,2.1,8,7,88.4,8.42,100,54.17,rain,,,48.8,27.2,185.4,1010.4,92.4,10.6,31.3,2.7,2,,2015-01-04T07:20:20,2015-01-04T16:41:44,0.5,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
"New York City,USA",2015-01-05,10,-5.7,2.4,10,-11.4,-2.5,-10.9,37.6,0,0,0,,,,70.7,39.3,290.6,1019.3,35.7,16,84.2,7.2,4,,2015-01-05T07:20:19,2015-01-05T16:42:40,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
"New York City,USA",2015-01-06,-5.8,-7.4,-6.5,-5.8,-13.2,-10.2,-13.6,59.1,1.18,100,20.83,snow,,3,38.9,19.5,268.8,1024.3,64.3,11.6,24,2,1,,2015-01-06T07:20:16,2015-01-06T16:43:36,0.51,"Snow, Partially cloudy",Partly cloudy throughout the day with snow in the morning and afternoon.,snow,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
"New York City,USA",2015-01-07,-4.8,-12.3,-7.2,-11.3,-22.1,-14.7,-16.2,50.2,0,0,0,,,3,57,36.8,284,1016.9,38.8,15.8,78.3,6.8,3,,2015-01-07T07:20:11,2015-01-07T16:44:35,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
"New York City,USA",2015-01-08,-6.6,-13.5,-10,-12,-22.5,-17.4,-20,44.2,0,0,0,,,3,47.7,23.5,266.6,1027.6,15.8,16,101.5,8.8,4,,2015-01-08T07:20:03,2015-01-08T16:45:34,0.55,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
"New York City,USA",2015-01-09,0.4,-7.5,-3.2,-4.2,-13.7,-9.1,-12.7,49.3,1.67,100,12.5,snow,,3.5,47.5,28.5,247.4,1018.4,56.8,14,71.8,6.2,3,,2015-01-09T07:19:53,2015-01-09T16:46:35,0.59,"Snow, Partially cloudy",Partly cloudy throughout the day with morning snow.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
"New York City,USA",2015-01-10,-5,-8.8,-6.8,-9.5,-16.3,-13.2,-18.1,40.5,0,0,0,,,3,45.1,20.7,272.5,1030.4,4.6,16,121.7,10.5,5,,2015-01-10T07:19:41,2015-01-10T16:47:37,0.62,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
